Source           Destination              Packets               Bytes
 156.36.204.245   147.249.46.2                 59465            36843393
 147.249.46.2     156.36.204.245               43926            15454965
 170.135.202.153  156.55.84.75               8558026           507177626
 156.55.84.75     170.135.202.153           10534157          2226535182
 156.36.204.28    208.238.11.150                  19                1668
 208.238.11.150   156.36.204.28                   19                1769
 208.238.11.152   156.36.205.20                  209              219813
 156.36.205.20    208.238.11.152                 113               11468
 170.135.199.195  170.132.238.37            23947023          2804205205
 170.132.238.37   170.135.199.195           29131914          2468855860
 170.132.25.211   170.135.199.195             242939            20380770
 170.135.199.195  170.132.25.211              273378            21595503
 168.162.176.67   170.135.199.195             129708           158115606
 170.135.199.195  168.162.176.67              126455             6375960
 170.132.238.56   170.135.199.195            7006080          3556897397
 170.135.199.195  170.132.238.56             3350088           321068680
 170.132.24.21    156.36.222.144                 172               24061
 156.36.222.144   170.132.24.21                  221               30202
 10.140.168.209   170.135.199.195                  6                 336
 170.132.235.10   156.36.30.190                    4                 220
 156.36.200.98    170.132.235.15              174628            37656046
 170.132.235.15   156.36.200.98               259382            13595679
 147.249.148.14   170.135.199.195              35171            37253844
 170.135.199.195  147.249.148.14               41433             9440162
 147.249.148.13   170.135.199.195           25837619          2595575844
 170.135.199.195  147.249.148.13            21821780          1515925251
 156.55.84.168    170.135.202.107              83606           104738143
 170.135.202.107  156.55.84.168                61948             4550704
 170.135.2.11     168.162.246.4                  798              224880
 168.162.246.4    170.135.2.11                   598              226745
 156.36.200.98    170.132.235.10               86394            21190576
 170.132.235.10   156.36.200.98                89395             7354602
 170.135.202.107  170.132.214.170              25171             1649846
 170.132.214.170  170.135.202.107              32198            39355509
 168.162.95.156   170.135.199.195           92526132          1161499292
 170.135.199.195  168.162.95.156            55296318           692282727
 170.132.238.11   170.135.199.195             302026           149951650
 170.135.199.195  170.132.238.11              249597            39721742
 170.135.199.195  147.249.177.22                  18                 936
 170.132.25.251   170.135.199.195             136109             7782018
 170.135.199.195  170.132.25.251              135163             5581926
 170.135.202.90   156.55.84.167                  368               14768
 156.55.84.167    170.135.202.90                 382               23006
 156.55.84.167    170.135.202.89                2166              129960
 168.162.95.154   170.135.199.195           73119854          4161087620
 170.135.199.195  168.162.95.154            81069599          1757948473
 170.132.113.145  170.135.199.195               1384             1190434
 170.135.199.195  170.132.113.145               1486              129325
 170.135.199.195  156.55.84.49                270613            17666745
 156.55.84.49     170.135.199.195             268429            50574263
 156.36.48.123    170.132.26.47                    6                 916
 170.132.26.47    156.36.48.123                    6                 255
 170.135.202.87   156.55.84.167                  367               14776
 156.55.84.167    170.135.202.87                 389               23512
 168.162.95.148   170.135.199.195           71035306          1032417399
 170.135.199.195  168.162.95.148            34346421          2637949607
 156.36.48.122    170.132.26.47                    5                 876
 170.132.26.47    156.36.48.122                    5                 213
 10.69.0.140      170.135.199.195                  1                 172
 156.36.48.98     170.132.154.180            1938635           105987659
 170.132.154.180  156.36.48.98               3650650           385935551
 156.55.84.49     170.135.2.10                  2115              275316
 170.135.2.10     156.55.84.49                  2781             2388537
 170.135.202.83   156.55.84.167                  824               42980
 156.55.84.167    170.135.202.83                1029             1157999
 170.135.199.195  168.162.95.146           109550381          1257051021
 168.162.95.146   170.135.199.195          108480462           168164893
 170.135.202.80   156.55.84.167                  753               39240
 156.55.84.167    170.135.202.80                 950             1078042
 170.135.202.79   156.55.84.167                14074              744028
 156.55.84.167    170.135.202.79               19430            22899469
 156.36.206.51    172.16.3.10                5664534           309896180
 156.36.48.98     170.132.26.47                   10                1752
 170.132.26.47    156.36.48.98                    10                 426
 156.55.51.77     170.135.2.11                  6806              451468
 170.135.2.11     156.55.51.77                 12718            15939463
 170.135.202.77   156.55.84.167                  374               14960
 156.55.84.167    170.135.202.77                 375               22500
 170.135.2.11     156.55.51.78                158442            15757852
 156.55.51.78     170.135.2.11                196240           219320082
 170.135.202.194  156.55.51.78                    17                 900
 156.55.51.78     170.135.202.194                 17                1058
 170.135.202.76   156.55.84.167                12911              675416
 156.55.84.167    170.135.202.76               16284            17412659
 170.135.2.10     156.55.51.78                 12688             1672648
 156.55.51.78     170.135.2.10                 13742            13618137
 170.135.199.195  147.249.60.138                   5                 260
 100.120.3.192    170.135.199.195                  3                 516
 170.135.202.73   156.55.84.167                91625             4948484
 156.55.84.167    170.135.202.73               91828             6471381
 147.249.60.137   170.135.199.195             411292           372243891
 170.135.199.195  147.249.60.137              491953            96383949
 170.135.202.72   156.55.84.167                    3                 168
 156.55.84.167    170.135.202.72                  14                 926
 170.132.50.161   156.36.206.51              6439168          3252932880
 170.135.202.70   156.55.84.167                    6                 324
 156.55.84.167    170.135.202.70                   6                 852
 156.55.51.75     170.135.199.195             217485            19626615
 170.135.199.195  156.55.51.75                225974             9554175
 168.162.220.2    170.135.199.195                  6                1008
 156.55.84.167    170.135.202.65                2166              129960

Accounting data age is 4w4dSource           Destination              Packets               Bytes
 170.135.202.83   172.16.3.10                     83                4428
 170.135.2.11     170.132.24.22               193940             9094592
 170.132.24.22    170.135.2.11                350298           451214107
 170.132.25.26    170.135.199.195             677852           710540280
 170.135.199.195  170.132.25.26               624285            93618968
 170.132.25.27    170.135.199.195             328551           340981461
 170.135.199.195  170.132.25.27               273861            34091894
 170.135.199.195  170.132.25.25             59174919          2983966024
 170.132.25.25    170.135.199.195           84828335          3717805390
 170.132.50.161   170.135.202.83                  86               15344
 168.162.209.81   156.36.204.247                7755              731268
 170.132.24.21    170.135.199.195               1532             1109417
 170.135.199.195  170.132.24.21                 1623              169909
 168.162.95.154   156.36.212.169                9570             8492610
 156.36.212.169   168.162.95.154                6816              968451
 168.162.176.152  170.135.199.195            1468336           228658695
 170.135.199.195  168.162.176.152            1140596            93528660
 156.36.239.64    170.132.26.47                   10                1752
 170.132.26.47    156.36.239.64                   10                 426
 170.135.199.195  170.132.221.212                138                7176
 170.135.199.195  170.132.221.213                 69                3496
 170.132.50.161   170.135.202.73               15049             1284943
 170.135.202.70   172.16.3.10                    636               33816
 170.132.50.161   170.135.202.79                 240              156307
 168.162.189.38   156.36.198.250             1269346            54619728
 156.36.198.250   168.162.189.38             2276141          2726877584
 170.132.50.161   170.135.202.76                3702             4454780
 170.132.154.180  156.36.239.64               201281            41941347
 156.36.239.64    170.132.154.180             274572            84020891
 170.135.202.73   172.16.3.10                  13117              703060
 10.16.30.49      170.135.199.195                  6                 336
 170.132.50.161   170.135.202.70                 766              357541
 10.16.30.48      170.135.199.195                  6                 336
 156.36.206.51    156.55.84.167             17594953           977028608
 156.55.84.167    156.36.206.51             20643853          3212545094
 170.135.202.79   172.16.3.10                    185                9804
 170.135.202.76   172.16.3.10                   2277              118812
 170.135.199.195  147.249.46.72            213324066          4019932746
 147.249.46.72    170.135.199.195          258787454          1131303564
 10.69.12.76      170.135.199.195                  3                 528
 147.249.46.70    170.135.199.195                 34               14010
